name,description
Eaton Vance Risk-Managed Diversified Equity Income Fund,"Fresh, creamy avocados ideal for salads and guacamole."
Select Asset Inc.,Advanced wristband that tracks daily activities and sleep.
"Stag Industrial, Inc.","Rich and flavorful chicken broth, great for soups."
"Boston Beer Company, Inc. (The)",Hearty casserole with beef and enchilada sauce.
WAVE Life Sciences Ltd.,Rechargeable electric wine opener for effortless uncorking.
"Westmoreland Resource Partners, LP","Stylish ripped boyfriend jeans for a relaxed, effortlessly cool vibe."
Ashford Hospitality Trust Inc,Trendy high-top canvas sneakers for a stylish streetwear look.
Standex International Corporation,Convenient magnetic jars for easy spice storage.
"Eldorado Resorts, Inc.",Gluten-free bread mix made with almond flour.
Union Bankshares Corporation,Connect your phone to the car's audio system via Bluetooth.
"Asia Tigers Fund, Inc. (The)","Wild-caught salmon filets, perfect for grilling or baking."
MTS Systems Corporation,"Creamy and rich vanilla ice cream, a classic dessert."
"MobileIron, Inc.",Set of roller bottles for blending and applying essential oils.
"Magna International, Inc.",7-in-1 multi-cooker for versatile cooking.
"Juniper Pharmaceuticals, Inc.","A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast."
"FormFactor, Inc.",Non-stick baking mat for easy cooking and cleanup.
PowerShares S&P SmallCap Utilities Portfolio,Creamy ice cream with refreshing mint flavor and chocolate chips.
Puma Biotechnology Inc,Compact fire pit for campfires and gatherings.
"Fidelity National Financial, Inc.",Refreshing cranberry juice with no added sugar.
"Profire Energy, Inc.","Freshly baked French baguette, perfect for dipping."
Pengrowth Energy Corporation,Seasoning mix for making crispy and flavorful potato wedges.
MER Telemanagement Solutions Ltd.,Eco-friendly soy candles with a variety of scents.
Northwest Natural Gas Company,RFID-blocking slim wallet for cards and cash.
Packaging Corporation of America,Comfortable and reusable face masks in different styles.
Huron Consulting Group Inc.,Stainless steel travel mug with spill-proof lid.
"Yum! Brands, Inc.",Ceramic pizza stone for homemade pizzas.
Sequans Communications S.A.,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal."
Medley LLC,"Organic rolled oats, great for breakfast or baking."
"Natera, Inc.",Digital scale to avoid overweight baggage fees.
"Sucampo Pharmaceuticals, Inc.",Lint roller designed specifically for removing pet hair from furniture.
"CRA International,Inc.",Plant-based sausage links with spices and herbs.
IZEA Inc.,Breathable mesh sports leggings for ultimate comfort.
AC Immune SA,Classic marinara sauce for all pasta dishes.
"Burlington Stores, Inc.",Stay dry with these stylish waterproof rain boots.
Equity Commonwealth,"Savory, protein-rich beef jerky for on-the-go snacking."
Molson Coors Brewing  Company,Eco-friendly coffee filter for brewing.
"Cypress Energy Partners, L.P.",Crunchy granola full of peanut butter flavor and oats.
Seaspan Corporation,A meal kit featuring tender chicken with honey sesame sauce.
General Motors Company,High-quality cutlery set for daily use or special occasions.
Pebblebrook Hotel Trust,Gentle grooming gloves for shedding pets.
Bank of America Corporation,High-quality voice recorder for lectures and meetings.
"Life Storage, Inc.",Indoor gardening kit with herbs and pots.
"Home BancShares, Inc.",High-density foam roller for muscle recovery.
Valley National Bancorp,A chic leather crossbody bag for everyday use.
BlueStar TA-BIGITech Israel Technology ETF,Fluffy rice cooked with coconut milk for a tropical twist.
"Caterpillar, Inc.","Seasoned and roasted to perfection, ready to eat."
"Popular, Inc.",Single-serve coffee maker with a built-in grinder.
"Appliance Recycling Centers of America, Inc.",A classic denim jacket that never goes out of style.
PartnerRe Ltd.,"Fresh, creamy avocados ideal for salads and guacamole."
"Anthem, Inc.","Tangy green salsa made with tomatillos, perfect for tacos."
Nuveen High Income November 2021 Target Term Fund,A creamy and tangy dressing perfect for salads or as a dipping sauce.
"NV5 Global, Inc.",Adjustable stand to improve ergonomics while working on a laptop.
Lexington Realty Trust,Add a pop of color with this stylish patterned knit scarf.
The Organics ETF,Complete watercolor set with paints and brushes.
"MaxLinear, Inc",Durable baking sheet coated for easy food release.
EnteroMedics Inc.,Relaxing paint kit with pre-printed canvas for painting.
"Summit Hotel Properties, Inc.",Charcoal kettle grill perfect for backyard barbecues.
"Blackrock MuniHoldings Fund II, Inc.",Space-saving colander for rinsing fruits and vegetables.
CombiMatrix Corporation,Bluetooth speakers with excellent sound quality.
iRadimed Corporation,Fluffy pancakes with buttermilk flavor.
Bel Fuse Inc.,"Soft flannel shirt with a timeless plaid pattern, perfect for layering."
Wells Fargo & Company,Professional sharpening system for kitchen knives.
"The Hanover Insurance Group, Inc.","Plain white rice, a staple for any meal."
"NN, Inc.",Professional-grade nail care set for manicures and pedicures.
Guggenheim Enhanced Equity Income Fund,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking."
Western Union Company (The),A healthy vegan cheese alternative packed with nutrients and flavor.
Symantec Corporation,Refreshing sparkling water with cucumber and lime flavor.
"Kindred Biosciences, Inc.",Control home appliances remotely using your smartphone app.
RLJ Lodging Trust,Classic leather photo album for keepsakes.
Bank of America Corporation,Convenient stroller for pets to enjoy outdoor walks.
"Powell Industries, Inc.",Fairy lights perfect for decorating patios and backyards.
"AMERIPRISE FINANCIAL SERVICES, INC.",Classic wooden puzzle game for kids and adults.
"People's United Financial, Inc.",Herbal tea blend with ginger and turmeric for a soothing drink.
Wells Fargo & Company,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks."
"Banco Santander, S.A.",A fitted ribbed knit dress that hugs your curves perfectly.
Cadence Bancorporation,Adds extra comfort to your mattress for a better night's sleep.
"Ohr Pharmaceuticals, Inc.","Healthy fruit snacks, made with real fruit."
Ally Financial Inc.,"Lean and versatile ground turkey, perfect for various dishes."
"SunTrust Banks, Inc.",Juicy and tender boneless chicken breasts.
WisdomTree Interest Rate Hedged High Yield Bond Fund,Heavy-duty bicycle lock for security.
Flushing Financial Corporation,Cordless electric screwdriver for home projects.
Ion Geophysical Corporation,Moist and flavorful muffins packed with fall spices and pumpkin puree.
Unum Group,Comfortable and warm leggings perfect for colder weather.
"LMI Aerospace, Inc.","Rich coconut milk, great for cooking and baking."
"Armstrong Flooring, Inc.",Delicious frozen pizza with a variety of toppings.
ASML Holding N.V.,Heat-sensitive mug that changes color when filled with hot liquid.
Kronos Worldwide Inc,A flavorful spread made with roasted garlic and creamy butter.
Quest Resource Holding Corporation.,Small toolkit with essentials for home repairs.
Allstate Corporation (The),Ergonomic footrest for easier pedicure treatment.
Antero Midstream Partners LP,Convenient hooks that utilize door space for hanging items.
Great Elm Capital Corp.,Eco-friendly bamboo toothbrush for sustainable living.
Bank of Hawaii Corporation,"Hearty stew made with lentils and mixed vegetables, vegan-friendly."
Murphy Oil Corporation,Set of stylish throw pillows for home decor.
"KCAP Financial, Inc.","Gluten-free almond flour, perfect for baking."
John Hancock Pfd Income Fund II,Chic slingback sandals for a relaxed summer vibe.
PowerShares Nasdaq Internet Portfolio,Healthy granola made with oats and honey.
Cemtrex Inc.,Instant ramen cups with flavor-packed broth.
The Middleby Corporation,"Soft and fresh sliced bread, perfect for sandwiches."
Western Asset Investment Grade Defined Opportunity Trust Inc.,Creamy almond butter made from roasted almonds.
Bellatrix Exploration Ltd,"Tangy feta cheese, perfect for salads and sandwiches."
"GSI Technology, Inc.",Cordless handheld vacuum for quick cleanups.
Global X Millennials Thematic ETF,Educational tablet designed for preschool-age children.
"White Mountains Insurance Group, Ltd.","Light and crispy baked chips, a healthier snack option."
Jacobs Engineering Group Inc.,Popcorn tossed with sweet or savory flavors for a tasty snack.
"John B. Sanfilippo & Son, Inc.","Sweet and salty popcorn with sea salt and caramel, a tasty treat."
PowerShares DWA Financial Momentum Portfolio,A blend of spices perfect for seasoning steak.
Hersha Hospitality Trust,Instant oatmeal cups with blueberries for an easy breakfast.
Swift Transportation Company,"Ready-to-eat avocado slices, perfect for tacos."
Eros International PLC,A blend of dried herbs commonly used in Italian cooking.
"Alliance One International, Inc.",Color-changing 3D night light for kids' rooms.
Getty Realty Corporation,A cozy long cardigan designed for layering in any season.
Verizon Communications Inc.,Color-changing smart LED bulbs compatible with Alexa.
"Reven Housing REIT, Inc.",Flavored aioli made with roasted garlic
"The Finish Line, Inc.","Flavorful lentil soup, perfect for a quick meal."
Perion Network Ltd,Golden-brown fritters made with sweet corn.
Oconee Federal Financial Corp.,"Smoothie mix combining peanut butter and banana, great for a quick breakfast."
Navistar International Corporation,Regulate water temperature for safe and comfortable showers.
Sussex Bancorp,"Grape leaves stuffed with rice and herbs, ready to eat."
"Blue Buffalo Pet Products, Inc.",Complete set of cooking utensils made from bamboo.
"Donaldson Company, Inc.",High-performance compression tights designed for optimal support and comfort.
"PhaseRx, Inc.",Moist brownie topped with sea salt and caramel drizzle.
"Lifetime Brands, Inc.","Spicy sauce made with chili peppers and garlic, great for stir-frying."
3D Systems Corporation,Add a smoky flavor to your dishes.
First Trust NASDAQ Cybersecurity ETF,USB hub for expanding ports on computers and laptops.
Alliance National Municipal Income Fund Inc,Create spiraled vegetable noodles easily for healthy meals.
"Roka Bioscience, Inc.",Airtight container to keep pet food fresh.
Companhia Brasileira de Distribuicao,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors."
"PS Business Parks, Inc.",A protein-packed pancake mix for a nutritious breakfast.
"PrivateBancorp, Inc.",Ready-to-eat chicken bowl with teriyaki sauce and rice.
Tesoro Corporation,Delicious plant-based burger made with organic black beans and spices.
Rexnord Corporation,Double-walled mug to keep your drink hot for longer.
iShares FTSE EPRA/NAREIT Europe Index Fund,Healthy pasta alternative made from chickpeas
J & J Snack Foods Corp.,"Light and crispy chips made from quinoa, ideal for dipping."
"Etsy, Inc.",Solar-powered charger for smartphones and tablets.
Varex Imaging Corporation,Mint-flavored chocolate candies for a refreshing treat.
Modine Manufacturing Company,Frozen vegan tacos filled with plant-based protein and spices.
"ASV Holdings, Inc.",Comfortable gaming headset with surround sound.
Tennessee Valley Authority,Pulled jackfruit in a smoky BBQ sauce for a tasty vegan dish.
"Synthetic Fixed-Income Securities, Inc.",Add a smoky flavor to your dishes.
"Popular, Inc.",Healthy energy bites made with oats and natural sweeteners.
Citizens & Northern Corp,Versatile puff pastry for pies and pastries.
Citigroup Inc.,"Gluten-free flour made from ground chickpeas, great for cooking."
Voya Asia Pacific High Dividend Equity Income Fund,Video baby monitor with night vision.
American Equity Investment Life Holding Company,Handy dispenser for quick access to safety pins.
Hornbeck Offshore Services,Soft and chewy cookies made with creamy peanut butter.
The GDL Fund,"Stylish leather ankle boots with a block heel, perfect for fall styling."
"ViewRay, Inc.",Everything you need to bake delicious chocolate chip cookies.
Blackrock MuniHoldings Investment Quality Fund,Set of decorative ceramic planters for indoor plants.
"Kinder Morgan, Inc.","A delightful mix of nuts, fruit, and chocolate."
AmeriServ Financial Inc.,Durable baking sheet coated for easy food release.
"WEC Energy Group, Inc.",Portable case to organize and protect jewelry on trips.
Canadian Natural Resources Limited,Complete station with supplies for kids' art projects.
"Dominion Energy, Inc.",Adjustable stand for smartphones and tablets.
Briggs & Stratton Corporation,Juicy raisins coated in rich dark chocolate.
HNI Corporation,Illuminated vanity mirror with adjustable brightness settings.
Integer Holdings Corporation,Compact and portable backpack for day trips and travel.
Microsoft Corporation,Creamy chickpea dip blended with tahini and garlic.
Capital One Financial Corporation,"A mix of wild rice with herbs and spices, ready to serve."
Nationstar Mortgage Holdings Inc.,"Crunchy granola bars made with almond butter, oats, and honey, perfect for on-the-go snacking."
Boston Omaha Corporation,Sweet and tangy honey mustard dip for snacks.
Invesco Plc,A tailored slim fit shirt for a polished look at work.
Vanguard Short-Term Inflation-Protected Securities Index Fund,Rechargeable electric wine opener for effortless uncorking.
"Earthstone Energy, Inc.",A colorful variety of crunchy veggie chips for snacking.
Drive Shack Inc.,Healthy chia pudding made with mango and coconut milk.
Infinera Corporation,"A mix of nuts roasted with spicy seasonings, perfect for snacking."
